operator,charging_facility_type,number_of_charging_points,power_connection_capacity,city,postal_code,commissioning_date,year,month,state
Energieservice Rhein-Main GmbH,Normalladeeinrichtung,2,22.0,Rüsselsheim am Main,65428,2021-11-01,2021,11,Hessen
Energieservice Rhein-Main GmbH,Normalladeeinrichtung,2,22.0,Rüsselsheim am Main,65428,2021-11-01,2021,11,Hessen
Energieservice Rhein-Main GmbH,Normalladeeinrichtung,2,22.0,Rüsselsheim am Main,65428,2021-11-01,2021,11,Hessen
Energieservice Rhein-Main GmbH,Normalladeeinrichtung,2,44.0,Rüsselsheim am Main,65428,2021-11-01,2021,11,Hessen
Energieservice Rhein-Main GmbH,Normalladeeinrichtung,2,22.0,Rüsselsheim am Main,65428,2021-11-01,2021,11,Hessen
Energieservice Rhein-Main GmbH,Normalladeeinrichtung,2,22.0,Rüsselsheim am Main,65428,2021-11-01,2021,11,Hessen
Energieservice Rhein-Main GmbH,Normalladeeinrichtung,2,22.0,Rüsselsheim am Main,65428,2021-11-01,2021,11,Hessen
Energieservice Rhein-Main GmbH,Normalladeeinrichtung,2,22.0,Rüsselsheim am Main,65428,2021-12-01,2021,12,Hessen
Energieservice Rhein-Main GmbH,Normalladeeinrichtung,2,44.0,Rüsselsheim am Main,65428,2021-12-01,2021,12,Hessen
Energieservice Rhein-Main GmbH,Normalladeeinrichtung,2,22.0,Rüsselsheim am Main,65428,2021-12-01,2021,12,Hessen
Energieservice Rhein-Main GmbH,Normalladeeinrichtung,2,22.0,Rüsselsheim am Main,65428,2021-12-01,2021,12,Hessen
Energieservice Rhein-Main GmbH,Normalladeeinrichtung,2,22.0,Rüsselsheim am Main,65428,2021-12-01,2021,12,Hessen
Energieservice Rhein-Main GmbH,Normalladeeinrichtung,2,22.0,Rüsselsheim am Main,65428,2021-12-01,2021,12,Hessen
Energieservice Rhein-Main GmbH,Normalladeeinrichtung,2,22.0,Rüsselsheim am Main,65428,2021-12-01,2021,12,Hessen
Energieservice Rhein-Main GmbH,Normalladeeinrichtung,2,22.0,Rüsselsheim am Main,65428,2021-12-01,2021,12,Hessen
Energieservice Rhein-Main GmbH,Normalladeeinrichtung,2,22.0,Rüsselsheim am Main,65428,2021-12-01,2021,12,Hessen
Energieservice Rhein-Main GmbH,Normalladeeinrichtung,2,22.0,Rüsselsheim am Main,65428,2021-12-01,2021,12,Hessen
Energieservice Rhein-Main GmbH,Normalladeeinrichtung,2,22.0,Rüsselsheim am Main,65428,2021-09-01,2021,9,Hessen
Energieservice Rhein-Main GmbH,Normalladeeinrichtung,2,22.0,Rüsselsheim am Main,65428,2021-09-01,2021,9,Hessen
Energieservice Rhein-Main GmbH,Normalladeeinrichtung,2,22.0,Rüsselsheim am Main,65428,2021-09-01,2021,9,Hessen
Energieservice Rhein-Main GmbH,Normalladeeinrichtung,2,22.0,Rüsselsheim am Main,65428,2021-09-01,2021,9,Hessen
Energieservice Rhein-Main GmbH,Normalladeeinrichtung,2,22.0,Rüsselsheim am Main,65428,2021-09-01,2021,9,Hessen
Energieservice Rhein-Main GmbH,Normalladeeinrichtung,2,22.0,Rüsselsheim am Main,65428,2021-09-01,2021,9,Hessen
Energieservice Rhein-Main GmbH,Normalladeeinrichtung,2,22.0,Rüsselsheim am Main,65428,2021-09-01,2021,9,Hessen
Energieservice Rhein-Main GmbH,Normalladeeinrichtung,2,22.0,Rüsselsheim am Main,65428,2021-09-01,2021,9,Hessen
